"nome","resumo","coordenador"
"INTEGRAÇÃO DA PESQUISA E DIVULGAÇÃO CIENTÍFICAS NO ENSINO DE CIÊNCIAS E BIOLOGIA","Em breve este conteúdo estará disponível.","Anatalia Kutianski Gonzalez Vieira "
"EFEITO DO CONSUMO DO ADOÇANTE SACARINA SOBRE A FISIOLOGIA CARDIOVASCULAR DE CAMUNDONGOS OBESOS","Em breve este conteúdo estará disponível.","Anatalia Kutianski Gonzalez Vieira "
"CRIANDO CAMINHOS SENSÍVEIS PARA O ENSINO DE CIÊNCIAS","Em breve este conteúdo estará disponível.","Andrea Espinola De Siqueira "
"A EVASÃO E A FORMAÇÃO DE PROFESSORES NO CURSO DE CIÊNCIAS BIOLÓGICAS EAD","Em breve este conteúdo estará disponível.","Celly Cristina a n Saba "
"ENSINO DE BIOLOGIA POR INVESTIGAÇÃO: ESTRATÉGIAS INOVADORAS NA FORMAÇÃO DE PROFESSORES","Em breve este conteúdo estará disponível.","Flavia Venancio Silva "
"O PARQUE JARDIM DE ALAH: QUESTÕES SOCIOCIENTÍFICAS PARA O ESTUDO DE ECOSSISTEMAS URBANOS","Em breve este conteúdo estará disponível.","Goia De Mattos Lyra "
"TREINAMENTO EM BIOTECNOLOGIA AMBIENTAL","Em breve este conteúdo estará disponível.","Ida Carolina Neves Direito "
"TREINAMENTO EM BIOTECNOLOGIA VEGETAL","Em breve este conteúdo estará disponível.","Ida Carolina Neves Direito "
"MONITORIA EM ETOLOGIA","Em breve este conteúdo estará disponível.","Marcos Rochedo Ferraz "
"ATUAÇÃO DOS FUTUROS BIÓLOGOS NA ÁREA DE MICOLOGIA","Em breve este conteúdo estará disponível.","Paula Helena Kubitschek Barreira "
"PRODUÇÃO AUDIOVISUAL EDUCACIONAL NO ENSINO DE CIÊNCIAS E BIOLOGIA","Em breve este conteúdo estará disponível.","Waldiney Cavalcante De Mello "
